uid,local_model_dir,commit,commit_date,eval_date,params,accuracy,evaluate,pareto,reward,vali_evaluated,hf_account,flops,score,block,ext_idx,lr
204,/root/dev/NASChain/cache/models--buttdestroyer1--uranus22/snapshots/48911d5f5eb4130e40040745a6c6fd36e2e565a8/model.pt,48911d5f5eb4130e40040745a6c6fd36e2e565a8,2024-11-04 22:14:03+00:00,2024-11-12 09:00:10,10000.0,87.0,True,False,False,True,buttdestroyer1/uranus22,5000000.0,0.0,4195077.0,2147483647.0,0.12
205,/root/dev/NASChain/cache/models--sontq--naschain/snapshots/c98b3972ed6c916a314410f7265670ea9e8ee8bb/model.pt,c98b3972ed6c916a314410f7265670ea9e8ee8bb,2024-07-13 18:03:11+00:00,2024-11-12 09:00:31,600000.0,88.0,True,False,False,False,sontq/naschain,53000000.0,0.0,3378222.0,2147483647.0,0.025
207,/root/dev/NASChain/cache/models--aquafina001--real_nas72430110/snapshots/53c7ea3c060e06f904dd743afac9fed644072acf/model.pt,53c7ea3c060e06f904dd743afac9fed644072acf,2024-10-31 19:46:28+00:00,2024-11-12 09:00:56,40000.0,91.0,True,False,False,False,aquafina001/real_nas72430110,9000000.0,0.0,4165613.0,2147483647.0,0.12
208,/root/dev/NASChain/cache/models--summertime0--nashk1/snapshots/358ed3bc08d5692022cf519c3152738b919f0a87/model.pt,358ed3bc08d5692022cf519c3152738b919f0a87,2024-09-21 15:51:36+00:00,2024-11-12 09:01:20,20000.0,83.0,True,False,False,False,summertime0/nashk1,3000000.0,0.0,3876814.0,2147483647.0,0.025
215,/root/dev/NASChain/cache/models--mimir2--thegiant2/snapshots/69010fac3f11d4d39d024634d81c4acdef73b3c4/model.pt,69010fac3f11d4d39d024634d81c4acdef73b3c4,2024-10-25 19:52:10+00:00,2024-11-12 09:02:00,8000.0,80.0,True,False,False,False,mimir2/thegiant2,2000000.0,0.0,4122580.0,2147483647.0,0.14
216,/root/dev/NASChain/cache/models--therice2024--naschain/snapshots/e683cbf95a5af17e7ab07eddfdbec73db9b8f637/model.pt,e683cbf95a5af17e7ab07eddfdbec73db9b8f637,2024-06-29 03:57:43+00:00,2024-11-12 09:02:10,1000000.0,81.0,True,False,False,False,therice2024/naschain,7000000.0,0.0,3281772.0,2147483647.0,0.025
220,/root/dev/NASChain/cache/models--buttdestroyer2--uranus12/snapshots/995e1c31adf883ff4661456f2743316a5b5b60ff/model.pt,995e1c31adf883ff4661456f2743316a5b5b60ff,2024-10-31 15:39:41+00:00,2024-11-12 09:02:29,20000.0,89.0,True,False,False,True,buttdestroyer2/uranus12,5000000.0,0.0,4164379.0,2147483647.0,0.185
222,/root/dev/NASChain/cache/models--buttdestroyer1--uranus18/snapshots/f512eb290bacc94fae9126d469dd9f52a9796209/model.pt,f512eb290bacc94fae9126d469dd9f52a9796209,2024-11-03 18:06:33+00:00,2024-11-12 09:02:49,8000.0,83.0,True,True,True,True,buttdestroyer1/uranus18,3000000.0,0.0031508665851499988,4186654.0,2147483647.0,0.1
223,/root/dev/NASChain/cache/models--mscheny--naschain_jgv/snapshots/b9582494dbc8ddc06870503879ebf77cfb428954/model.pt,b9582494dbc8ddc06870503879ebf77cfb428954,2024-08-16 08:34:31+00:00,2024-11-12 09:03:02,90000.0,86.0,True,False,False,False,mscheny/naschain_jgv,8000000.0,0.0,3669851.0,2147483647.0,0.025
225,/root/dev/NASChain/cache/models--mscheny--naschain_awe/snapshots/05283c3c84ffd7a6768a500c1fa511e411fc9214/model.pt,05283c3c84ffd7a6768a500c1fa511e411fc9214,2024-08-14 07:59:41+00:00,2024-11-12 09:03:17,60000.0,87.0,True,False,False,False,mscheny/naschain_awe,10000000.0,0.0,3669839.0,2147483647.0,0.025
227,/root/dev/NASChain/cache/models--bazooka-gh--bazooka2v1/snapshots/3b7c4944b9a995e052c0a5234cb4bd79260b2a5c/model.pt,3b7c4944b9a995e052c0a5234cb4bd79260b2a5c,2024-08-16 15:25:29+00:00,2024-11-12 09:03:30,90000.0,86.0,True,False,False,False,bazooka-gh/bazooka2v1,8000000.0,0.0,3619318.0,2147483647.0,0.025
228,/root/dev/NASChain/cache/models--khanhnn55--nas586f13a0ead5/snapshots/1328595ff00004131f93264925c9b113c2614f59/model.pt,1328595ff00004131f93264925c9b113c2614f59,2024-11-12 20:30:44+00:00,2024-11-12 20:34:27,40000.0,91.0,True,True,True,True,khanhnn55/nas586f13a0ead5,7000000.0,0.02582507267667912,4252027.0,2147483647.0,0.098
229,/root/dev/NASChain/cache/models--NASJesus--dylr83_1_2_prime/snapshots/deddb4afc5b238fc09132b0eef7d934fcd4a1afa/model.pt,deddb4afc5b238fc09132b0eef7d934fcd4a1afa,2024-10-23 16:04:34+00:00,2024-11-12 09:04:05,10000.0,83.0,True,False,False,False,NASJesus/dylr83_1_2_prime,2000000.0,0.0,4107096.0,2147483647.0,0.245
230,/root/dev/NASChain/cache/models--nasgod01--nasd2b97003fd5d/snapshots/7c071ffb5d63325ea66180d8f34ddf8368d59721/model.pt,7c071ffb5d63325ea66180d8f34ddf8368d59721,2024-11-04 08:12:11+00:00,2024-11-12 09:04:17,30000.0,90.0,True,True,True,True,nasgod01/nasd2b97003fd5d,6000000.0,0.019952622754842195,4190868.0,2147483647.0,0.147
231,/root/dev/NASChain/cache/models--khanhnn55--nas2521fa211def/snapshots/759737ac954e3267db1a15bf5fabbf3f6b17591e/model.pt,759737ac954e3267db1a15bf5fabbf3f6b17591e,2024-11-12 11:18:06+00:00,2024-11-12 17:21:34,20000.0,89.0,True,True,True,True,khanhnn55/nas2521fa211def,4000000.0,0.015451883428077948,4249265.0,2147483647.0,0.139
232,/root/dev/NASChain/cache/models--nasgod01--nas356b3f1444e5/snapshots/37bbb92ea3c9060e453a7b56175796ef52998756/model.pt,37bbb92ea3c9060e453a7b56175796ef52998756,2024-11-07 06:59:06+00:00,2024-11-12 09:05:10,500000.0,95.0,True,True,True,True,nasgod01/nas356b3f1444e5,130000000.0,0.04198408817547298,4212088.0,2147483647.0,0.134
233,/root/dev/NASChain/cache/models--nasgod01--nas8dd220ca5046/snapshots/df0ed3a3cc05615f2ace4fa08d56ed179c4acf17/model.pt,df0ed3a3cc05615f2ace4fa08d56ed179c4acf17,2024-11-11 09:28:37+00:00,2024-11-12 09:05:35,80000.0,93.0,True,True,True,True,nasgod01/nas8dd220ca5046,16000000.0,0.04202126375572989,4241555.0,2147483647.0,0.13
234,/root/dev/NASChain/cache/models--nasgod01--nas3868fd59eb61/snapshots/4a829ac04d4ec9f9316b7ac5f77345decf7ac04a/model.pt,4a829ac04d4ec9f9316b7ac5f77345decf7ac04a,2024-11-03 17:50:50+00:00,2024-11-12 09:06:01,50000.0,91.0,True,False,False,True,nasgod01/nas3868fd59eb61,7000000.0,0.0,4186575.0,2147483647.0,0.126
236,/root/dev/NASChain/cache/models--nasgod01--nas10c79680a92a/snapshots/fc30a36323af65a956a124f0a7d89121b3cd48e2/model.pt,fc30a36323af65a956a124f0a7d89121b3cd48e2,2024-11-09 17:18:47+00:00,2024-11-12 09:06:29,60000.0,92.0,True,True,True,True,nasgod01/nas10c79680a92a,10000000.0,0.033059008171808256,4229564.0,2147483647.0,0.109
237,/root/dev/NASChain/cache/models--Xrunner--naschain/snapshots/bdbb5edf8afa0d3d1485b418ddf0647ef4432353/model.pt,bdbb5edf8afa0d3d1485b418ddf0647ef4432353,2024-08-28 18:51:28+00:00,2024-11-12 09:06:52,60000.0,71.0,True,False,False,False,Xrunner/naschain,700000.0,0.0,3706215.0,2147483647.0,0.025
238,/root/dev/NASChain/cache/models--bazooka-gh--bazooka5v1/snapshots/375a6a83e71c716630ee95e9586fd3c0b95c0a37/model.pt,375a6a83e71c716630ee95e9586fd3c0b95c0a37,2024-08-15 03:50:56+00:00,2024-11-12 09:06:59,70000.0,86.0,True,False,False,False,bazooka-gh/bazooka5v1,7000000.0,0.0,3608679.0,2147483647.0,0.025
239,/root/dev/NASChain/cache/models--NASJesus--firstdylrtest/snapshots/cb1d40d0a70f9f675a7323f01b670ea6bb37c4df/model.pt,cb1d40d0a70f9f675a7323f01b670ea6bb37c4df,2024-10-21 17:30:23+00:00,2024-11-12 09:07:10,30000.0,89.0,True,False,False,False,NASJesus/firstdylrtest,6000000.0,0.0,4093128.0,2147483647.0,0.18
241,/root/dev/NASChain/cache/models--khanhnn55--nas6bf69b0b33ae/snapshots/dd27a70e974617f11e63277f890f1d9167857b60/model.pt,dd27a70e974617f11e63277f890f1d9167857b60,2024-11-10 13:57:15+00:00,2024-11-12 09:07:30,70000.0,93.0,True,True,True,True,khanhnn55/nas6bf69b0b33ae,18000000.0,0.04208917685129214,4235714.0,2147483647.0,0.112
242,/root/dev/NASChain/cache/models--NASJesus--dylr85_1_3/snapshots/84375fafacaed654faccf64cb0033510a07a19ed/model.pt,84375fafacaed654faccf64cb0033510a07a19ed,2024-10-21 20:50:00+00:00,2024-11-12 09:07:55,10000.0,85.0,True,True,True,True,NASJesus/dylr85_1_3,3000000.0,0.005364191536449928,4094126.0,2147483647.0,0.196
244,/root/dev/NASChain/cache/models--khanhnn55--nas15e3f4724f61/snapshots/280f06b9b51ab2000ce6db29ef75605ce7de3ea1/model.pt,280f06b9b51ab2000ce6db29ef75605ce7de3ea1,2024-11-12 15:11:39+00:00,2024-11-12 17:23:55,10000.0,87.0,True,True,True,True,khanhnn55/nas15e3f4724f61,4000000.0,0.009122313801761985,4250433.0,2147483647.0,0.097
